raw_idx,type_idx,type_id,sport_norm,event_norm,team_flag,result_type,round_norm,medal_awarded,advancement,match_score
0,12,13,GYMNASTICS,ARTISTIC GYMNASTICS,no,score ,QUALIFICATION,no,no,6
1,27,28,GYMNASTICS,ARTISTIC GYMNASTICS,no,score ,FINALS,yes,yes,7
2,1,2,GYMNASTICS,ARTISTIC GYMNASTICS,yes,score ,FINALS,yes,yes,6
3,3,4,SEPAK TAKRAW,DOUBLES,yes,score,ROUND ROBIN,no,yes,9
4,18,19,SEPAK TAKRAW,DOUBLES,yes,score,BRONZE MEDAL PLAYOFF,yes,yes,8
5,13,14,SEPAK TAKRAW,DOUBLES,yes,score,SEMI FINALS,no,yes,9
6,10,11,SEPAK TAKRAW,DOUBLES,yes,score,FINALS,yes,yes,8
7,12,13,SEPAK TAKRAW,QUADRANT,no,score,ROUND ROBIN,no,yes,9
8,3,4,SEPAK TAKRAW,REGU,yes,score,ROUND ROBIN,no,yes,9
9,27,28,SEPAK TAKRAW,QUADRANT,no,score,FINALS,yes,yes,9
10,27,28,SEPAK TAKRAW,QUADRANT,no,score,FINALS,yes,yes,9
11,18,19,ESPORTS,LEAGUE OF LEGENDS: WILD RIFT (MOBILE),yes,score,UPPER BRACKET,no,yes,9
12,18,19,ESPORTS,LEAGUE OF LEGENDS: WILD RIFT (MOBILE),yes,score,GROUP STAGE,no,yes,9
13,13,14,ESPORTS,LEAGUE OF LEGENDS: WILD RIFT (MOBILE),yes,score,SEMI FINALS,no,yes,9
14,18,19,ESPORTS,VALORANT (PC),yes,score,GROUP STAGE,no,yes,9
15,18,19,ESPORTS,MOBILE LEGENDS BANG BANG,yes,score,GROUP STAGE,no,yes,9
16,12,13,CUESPORTS,6-RED SNOOKER SINGLES,no,score,PRELIMINARY ROUND,no,yes,9
17,12,13,CUESPORTS,ENGLISH BILLARD SINGLES,no,score,PRELIMINARY ROUND,no,yes,9
18,12,13,CUESPORTS,ENGLISH BILLARD SINGLES,no,score,QUARTER FINALS,no,yes,9
19,12,13,CUESPORTS,6-RED SNOOKER SINGLES,no,score,SEMI FINALS,no,yes,9
20,27,28,CUESPORTS,ENGLISH BILLARD SINGLES,no,score,FINALS,yes,yes,9
21,18,19,VOLLEYBALL BEACH,BEACH VOLLEYBALL,yes,score,PRELIMINARY ROUND,no,yes,9
22,18,19,VOLLEYBALL BEACH,BEACH VOLLEYBALL,yes,score,PRELIMINARY ROUND,no,yes,9
23,18,19,VOLLEYBALL BEACH,BEACH VOLLEYBALL,yes,score,ROUND OF 12,no,yes,9
24,13,14,VOLLEYBALL BEACH,BEACH VOLLEYBALL,yes,score,SEMI FINALS,no,yes,9
